stiffness,theta0,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
0.09,39.11212819,3.682132669,5.361415467,6.285071264,8.401618413,11.24553342,14.51896396,17.90750232,21.1205585,24.60942257,22.64900535,20.23672106,17.35321558,14.93162129,12.86543188,9.922968934,7.602270029,5.512588046
0.09,39.11212819,5.512588046,6.372093491,8.91243497,10.53723595,12.87926444,14.80841208,18.37214468,21.28435621,24.44842503,22.75547142,20.08669315,17.60423164,14.73534806,12.61825859,10.08488721,7.588691962,6.060839811
0.09,39.11212819,6.060839811,6.453416077,9.172336636,11.0975195,12.66561023,15.23889896,18.34989177,21.92777787,24.73618616,22.57706763,20.84211572,17.67776058,15.38245299,12.86801128,10.21531724,8.159296246,5.958981869
0.09,37.27335414,3.975072251,5.083709322,7.317076573,8.943137458,10.72527039,13.61307935,16.36057898,18.97741944,24.76308168,24.00834323,20.25511894,16.75026451,14.40429332,12.37274546,10.55956183,8.641184211,7.069539693
0.09,37.27335414,7.069539693,7.722479274,9.75308027,11.3491657,13.3885496,15.61227849,18.73928705,21.84900467,25.72721831,24.17241283,21.06603146,17.49298014,15.4368914,12.78634295,10.99234848,9.726144448,7.441727602
0.09,37.27335414,7.441727602,8.408845163,9.710024938,11.97961981,13.56998519,16.45715083,19.00089571,23.02361082,26.21562293,24.32149202,21.18128767,17.75100423,15.2300761,13.0375126,10.85430964,8.689630263,7.67553686
0.09,39.5923763,6.634111554,8.435237419,10.5517308,12.86385816,14.53401092,17.14156699,19.93017236,22.58899771,25.99683964,24.46243093,22.37148944,19.62957566,17.3000975,14.29614086,11.00470313,9.037497079,6.453877461
0.09,39.5923763,6.453877461,8.544987455,9.86497711,12.60063632,15.10091581,17.68581638,20.32657729,23.26401379,26.47248606,24.50703391,22.11391819,19.55503833,16.82296785,14.5162075,11.34440745,9.515874623,7.201644401
0.09,39.5923763,7.201644401,8.73739101,10.58131562,13.24574096,15.36409496,18.31014617,20.27115714,23.03232228,26.2633156,24.70746529,22.61827193,19.67138437,16.79518932,14.09173589,11.17652427,8.911680779,7.307328364
0.23,44.83629438,8.949078339,10.38476557,11.36690261,13.33901907,15.88598802,18.3791814,22.05501029,24.42684773,28.66231863,26.95933585,24.78399643,21.60796159,19.07967755,16.58446621,14.09642114,12.52831601,10.82372469
0.23,44.83629438,10.82372469,11.54365992,13.07580807,15.00712266,17.27611399,19.42360593,22.44507265,24.9885542,28.75192465,27.04585155,24.59396619,22.30257102,19.31664635,17.07935312,14.44631848,12.70987609,11.27186674
0.23,44.83629438,11.27186674,11.89615818,13.28550576,15.03623462,17.2848124,20.09038008,22.45837043,25.45932479,28.72745712,27.3425941,25.12801866,22.21390994,19.84400868,17.36303455,14.56289521,13.08261986,11.50317174
0.23,46.32083543,11.28132102,12.24250116,13.70741555,15.78924375,17.36234716,20.07209082,23.92720093,26.62093361,30.32569556,29.10574425,26.93465844,23.88433394,21.24973696,19.24685343,15.90574485,14.03873829,13.00852246
0.23,46.32083543,13.00852246,13.67936661,15.11655856,16.30602557,18.13892517,20.95151767,23.74518086,27.32884851,30.72898471,29.449223,27.05613075,24.28593513,21.30630005,19.30893137,16.09369081,14.49528959,13.2271013
0.23,46.32083543,13.2271013,14.15608364,15.2264207,16.13344847,18.26027164,21.78689382,24.34571119,27.68334638,30.95493078,29.25602799,26.82423144,24.17434515,21.65925854,19.46419341,16.38014305,14.49010159,12.66615981
0.23,44.9839754,12.19040844,12.84628217,14.2177313,15.85780851,17.7891457,20.31799997,23.7851467,27.07023909,30.04761403,28.83118321,26.34663428,23.36521051,20.73839136,18.35863327,16.55605537,13.70392784,12.53865573
0.23,44.9839754,12.53865573,13.31238615,14.96354054,16.64894027,19.30039891,21.12140494,24.18001492,26.82696503,30.37395565,29.01607663,26.96834839,23.68762942,20.84918644,18.87648558,15.42123725,13.65690749,12.32142911
0.23,44.9839754,12.32142911,13.86657098,15.00032895,16.9498976,19.37770567,21.28420549,24.29288335,27.41845755,30.83281416,29.13462967,26.54147763,23.60259853,20.87683784,18.89436993,16.64620544,14.93968955,12.54787656
0.43,37.18430733,8.917217661,9.839597271,11.18039506,12.56791779,15.37609551,18.59205778,21.95907884,24.41254578,28.1169673,25.87773407,23.8782596,21.30320739,18.71105556,16.74641539,14.48083406,11.8275505,10.86747503
0.43,37.18430733,10.86747503,11.78158822,13.80955053,15.50800635,17.59020423,19.97735778,22.33242767,25.30537479,27.96734453,26.75278728,24.64514992,21.88498808,19.48715285,16.95002118,14.58844298,12.18950171,10.80879999
0.43,37.18430733,10.80879999,12.26894826,14.02166102,15.86474816,17.81396914,19.91256695,22.37727311,25.48613213,28.71020377,26.75775077,25.04897154,22.08010227,18.98045168,17.35394146,14.80588633,12.2826904,11.36958629
0.43,37.74233192,8.713116666,9.7519711,11.22006601,13.25395213,15.32019617,17.48425723,20.49096961,23.81698627,26.728917,25.40351693,24.07889384,21.18994111,18.72932686,16.53303085,13.0563836,11.47516369,9.662472952
0.43,37.74233192,9.662472952,11.55662968,12.78206111,14.04688123,17.07459853,18.30716065,21.35054594,24.22267338,27.24882425,26.02333208,23.80582646,21.35759997,18.84646834,16.39661054,14.34489677,11.76803852,10.31493322
0.43,37.74233192,10.31493322,11.349569,13.12748333,14.69622829,16.89005557,18.44796199,21.56543977,24.12115484,27.55974457,25.98399438,24.11956244,21.52383004,18.77309241,16.68289901,14.18571182,11.51865934,10.5638252
0.43,38.21636459,8.289129021,8.991834351,10.42826016,12.45886615,14.31796794,17.36621679,23.08949846,25.22442608,27.93406134,26.11962501,24.48007196,21.63954137,19.19170785,16.49327282,14.65881923,12.11052771,10.82194544
0.43,38.21636459,10.82194544,11.69280643,13.29422259,15.38278719,17.39111283,20.12196646,22.26160631,25.77521634,28.67177222,26.37055629,24.69423361,22.1741926,19.74882842,17.24298957,14.37124947,12.36982375,11.24589243
0.43,38.21636459,11.24589243,12.14427805,13.57948189,16.07450575,17.91306344,20.18419732,22.51410325,25.8435297,28.79828752,26.8719738,24.52563647,22.33052923,19.75967926,17.75192781,14.77836462,12.90868177,11.12419489
0.5,43.35393048,11.39688626,12.2416069,13.19300465,15.16325677,17.08495207,20.81461127,24.21829416,26.77527907,30.07480185,28.54467881,26.48350665,23.3923454,20.9863947,18.2867906,15.87802427,12.99129665,12.21124875
0.5,43.35393048,12.21124875,12.74647505,13.97146901,16.00169134,18.33103338,21.26729475,24.63742364,27.4221864,30.30358908,28.6228237,26.32774786,23.48843458,20.71267506,18.50361164,16.16727987,13.0160435,12.14355167
0.5,43.35393048,12.14355167,13.15266679,14.44155175,16.25530009,18.59943303,21.10349769,24.10525508,27.07914965,30.55527142,28.5544457,26.47677375,23.15493556,21.22210632,18.64404501,16.04919588,13.34982469,12.07601837
0.5,45.90027677,11.13968811,11.61774659,13.01524762,14.90706482,17.47744754,20.8709328,24.44737665,27.36633031,29.71418411,28.27390717,26.54113166,24.32113578,21.99441201,19.09617903,16.2655692,14.4121384,12.9534277
0.5,45.90027677,12.9534277,13.51450676,14.86955073,16.88216484,18.88412508,21.83578178,24.36475575,27.50488397,30.71495995,28.93213001,27.08717486,24.41706449,21.51725843,19.62694527,17.25545531,15.3588619,13.36324256
0.5,45.90027677,13.36324256,14.17824633,15.0415302,16.64507092,18.87414132,21.90522697,24.32120459,27.85195154,30.80752093,29.69788592,27.13858741,24.3537975,21.93254143,19.6538139,17.58427597,14.49204569,13.43686189
0.5,43.59232323,13.31638521,14.22965493,15.35933055,16.67965778,18.02994761,21.01069843,24.0141927,26.76067687,30.73845504,28.68410593,26.73146885,24.340166,21.47261634,19.78423283,17.74874676,15.36709334,14.09952416
0.5,43.59232323,14.09952416,14.91875426,16.5369647,18.42932315,20.07393161,22.32405442,24.82048047,27.18916352,30.95853176,29.53313522,26.99281504,25.69351355,21.86470445,19.6916742,17.9903204,15.08758766,13.771315
0.5,43.59232323,13.771315,14.68944443,16.65106335,18.41897033,19.85566959,21.96879154,24.42530185,28.08248268,30.77821385,29.56192251,27.29893655,24.4620051,22.2264685,19.41841556,17.65103073,15.5197404,13.58165937
0.81,37.96407549,15.57413134,16.20135728,17.44227498,18.90313587,20.80114407,23.17426038,27.47698732,29.5581079,32.49662676,30.69224913,28.63619159,26.79762482,24.88669766,22.56792117,20.67347645,17.32941821,16.58182416
0.81,37.96407549,16.58182416,17.50226694,18.87797246,19.94527567,21.7227161,25.0807562,27.12977835,30.01192911,32.62070418,30.8187201,28.92642584,26.93402961,24.81450764,22.68960384,20.72846043,18.07654997,16.70671496
0.81,37.96407549,16.70671496,17.5895772,18.73929317,20.80362925,22.09214808,25.0798457,27.42308122,30.3120231,32.81251443,31.25915389,29.20987683,26.98935528,24.87095228,22.50517107,20.73618428,17.90304682,16.42088075
0.81,37.2005892,15.06238268,15.66115034,16.34981359,17.8213081,19.60921487,22.31014255,25.06965995,27.24364966,30.44918255,28.66288465,26.42826184,24.75390228,23.00209424,21.45055731,19.27827825,17.19533569,15.93687914
0.81,37.2005892,15.93687914,16.43167923,17.34550793,19.70274868,21.31697085,23.40991299,25.68873418,27.81234955,30.82881811,29.3513152,26.8891161,25.16900891,23.22491914,21.23618841,20.12386636,17.43907703,16.26208046
0.81,37.2005892,16.26208046,16.24992737,17.47611316,20.00973693,22.05362962,23.65409613,26.00503455,28.2867737,31.19746262,29.13855289,27.2618144,25.46516388,23.40634749,21.64508007,19.27644486,16.97846949,16.21272371
0.81,37.44365594,12.07145534,12.66089278,13.906645,15.00008897,17.60276644,20.88991708,24.03828463,26.65933318,29.23882839,27.51196767,25.97918986,23.664118,21.57121345,19.20372784,16.63631987,14.53930681,14.25890297
0.81,37.44365594,14.25890297,14.7086572,16.06621333,17.45055574,19.77912424,22.04086084,24.41943705,26.95525334,30.11996131,28.12222339,26.6145552,24.36966638,22.31469172,19.88040679,16.4833119,14.90356356,14.19528859
0.81,37.44365594,14.19528859,14.805769,16.13179852,17.54339189,19.47292034,22.34807029,25.17082202,27.54264173,29.96377769,28.05220283,26.82983895,24.67905826,22.51883957,20.2309477,16.98257219,15.21687958,14.72371041
0.85,35.5368683,10.54005866,11.53777519,12.75848256,14.94078506,16.61156951,18.63910124,21.77180462,25.07406308,28.52598593,27.01568705,23.96885881,21.6551357,20.22339945,18.98985428,16.94773501,16.12276234,13.80423179
0.85,35.5368683,13.80423179,14.21084503,14.55493928,16.38295975,17.43561733,20.26146875,22.08324015,26.43600685,29.07799872,27.33994045,25.4368184,21.89549968,20.32839862,19.35271135,17.12772568,15.92773587,13.77051665
0.85,35.5368683,13.77051665,14.14503013,14.99122167,15.94368631,18.16376354,20.07582244,22.97779683,26.00804263,28.81541901,27.73918421,25.07083896,22.02878557,20.72297054,19.70416765,17.73150396,16.13770323,13.82604995
0.85,34.41434386,12.39330865,13.18174519,14.03464067,15.67556607,17.13795454,19.95094865,23.75115903,26.23180539,28.04348515,26.5751898,24.57775458,22.18986915,19.57759864,18.01369956,17.2853813,14.98965218,14.62850655
0.85,34.41434386,14.62850655,14.74619626,16.00199254,16.81345586,18.63124749,21.17792325,23.47782475,26.53741384,29.16596022,27.65538365,25.4819471,22.8803824,20.77090949,19.13393675,17.53076303,15.72868965,14.89322406
0.85,34.41434386,14.89322406,15.00655476,15.58001136,17.94341868,19.68508522,21.68802815,24.21445203,26.31057008,29.08811042,27.24398299,25.8982519,23.08209767,20.78253235,19.56989541,17.74176706,16.09660551,14.90345486
0.85,34.84487065,13.11529732,13.74777811,14.05692146,15.13138267,17.18276227,20.45076482,23.24655859,25.50413949,27.92127177,27.00415618,26.25618204,23.45862365,21.88240611,19.77817709,17.58276975,16.61768394,14.63035004
0.85,34.84487065,14.63035004,14.90046881,16.17934087,16.6210373,18.6798929,21.70375661,23.92979811,25.64298105,29.07975908,28.13020871,26.52999621,24.45425914,22.72571458,20.42911754,18.42775534,17.21527421,15.67597742
0.85,34.84487065,15.67597742,15.70484199,16.5710068,17.54510986,19.29449125,21.27428509,24.09113892,26.57904239,29.29076745,28.42840514,26.02224738,24.00837627,22.04378615,20.59191509,18.55035552,16.69615421,15.48471975
