stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0,theta0
0.08,0.952575859,1.998165321,3.410264308,5.213076492,7.430272862,9.905228844,13.52808642,17.44446035,20.43645178,18.64101598,16.30885676,13.34657676,11.82774389,9.560860759,7.906765291,6.633458392,5.069115119,31.39641539
0.08,5.069115119,5.879877868,6.968488837,8.639007076,10.14102028,12.04576589,15.17797531,17.7818115,20.77706281,19.04341602,16.39249851,13.75136449,12.12759457,9.774068327,8.390818337,6.660680175,5.035230621,31.39641539
0.08,5.035230621,6.19984994,7.205432126,8.707315739,10.53566395,12.57942189,15.01052462,18.11245602,21.09199556,19.34595112,16.79078484,14.16300117,12.34638385,10.37792975,8.212981191,6.595439214,5.173900814,31.39641539
0.08,0.163788205,1.330731379,2.624827947,4.440978134,6.531339822,8.798198708,12.02631285,14.33395356,20.61596883,18.39119688,15.94664782,13.64608615,12.22588071,9.814595617,7.734895191,6.290162355,4.928143138,31.12433879
0.08,4.928143138,5.393845727,6.430871659,8.327598852,10.02712234,12.14455527,14.65094615,17.39166523,21.49845018,19.18356016,16.54705855,14.53464803,12.41811546,10.53909107,8.481773934,6.495741171,5.118879615,31.12433879
0.08,5.118879615,5.691529048,6.880076872,8.564772528,10.44918549,12.66996172,15.46375295,18.02993361,21.84328868,19.36811,17.20711689,14.49490972,12.52986611,10.55824619,8.227018917,6.146478314,5.474933753,31.12433879
0.08,0.397170807,1.270477024,2.838559911,4.567701814,6.595218553,9.45198429,13.03176396,16.17792142,19.54363518,18.03474702,15.09630023,12.66357603,10.46294854,8.390794127,6.694960767,5.417238007,4.107133231,31.42376331
0.08,4.107133231,4.186588943,5.602226301,6.829044898,8.386005877,10.75789278,13.56087888,16.73253222,20.05447676,18.36062737,15.59383078,12.90662965,10.67711187,8.61685191,6.964864003,5.236146554,4.475257681,31.42376331
0.08,4.475257681,4.698109757,5.892112258,7.099113555,8.93145395,11.12526612,13.99085971,16.97358951,20.32766536,18.39946808,15.8277903,13.23742274,10.72785129,8.739694073,6.927772412,5.380037967,4.449260514,31.42376331
0.22,2.337371366,3.672571716,5.917893058,7.245690308,9.630502961,12.03771405,16.63003487,19.19848436,22.32000072,20.40969484,18.16236521,16.1690789,14.06008979,12.02823193,10.16911307,9.071911974,7.842345479,36.80507447
0.22,7.842345479,8.433710759,9.479944066,11.30741226,13.12996139,15.40248394,17.76321176,19.98043643,23.36133307,21.23892143,18.82492655,16.74693165,14.45618045,12.43197136,10.87388885,9.617776879,8.25996614,36.80507447
0.22,8.25996614,8.957613065,10.12748539,11.93164958,13.64583298,15.71203129,18.16829948,20.6617852,23.53289172,21.72465312,19.1656441,16.94962851,14.4332345,12.95806891,11.04918735,10.05664988,8.515676255,36.80507447
0.22,4.730330657,5.898257192,7.513740944,9.022165857,11.2677474,13.87576883,17.10713016,19.46970959,22.46771916,20.73141583,18.55502219,16.28785181,14.32432769,12.56498569,10.48641295,9.063626518,7.43698553,36.31819808
0.22,7.43698553,8.291546484,9.585590957,11.59651816,13.18100212,15.03310516,17.80679455,20.17575022,23.2270666,21.3912328,19.43729643,16.70630267,14.98972588,12.95842225,10.69010533,9.272785954,7.972395157,36.31819808
0.22,7.972395157,8.575556723,9.897358692,11.7065694,13.59231517,15.17631317,17.65896172,20.3802238,23.50833892,21.45964219,19.6213197,17.22599756,15.25769732,13.12843743,11.08867293,9.302729241,8.040119031,36.31819808
0.22,3.605207288,4.754392567,6.152070537,8.202095466,10.54574821,13.32055993,16.56652839,19.55688254,23.11577129,21.26105178,19.12226143,16.51904567,14.62377406,12.76687695,10.75339653,9.160304615,8.020351525,36.26451322
0.22,8.020351525,8.63518049,9.709967838,11.16205243,12.70844986,14.79626059,17.35897886,20.42706994,23.53702788,22.12681274,19.19888912,16.87202648,14.85204044,12.83094583,10.70878077,9.376447064,8.391482507,36.26451322
0.22,8.391482507,8.824271596,9.862723025,11.51910302,13.23580006,15.13212172,17.37863819,20.25988058,23.61517729,21.82816831,19.33744152,17.16950814,14.89725829,12.95246392,11.15167725,9.801967006,8.150185805,36.26451322
0.36,0.957138271,2.131080729,3.798146509,5.563320234,7.453486091,10.71658935,16.75587732,19.62188017,22.34939066,20.74788264,19.10070284,16.88872242,14.99330616,13.34320321,11.45514605,9.781245508,8.534513579,35.4137699
0.36,8.534513579,9.179818361,9.925206125,11.40975156,13.02022662,15.25568369,17.70858079,20.60666947,23.69527784,22.14942353,20.00052518,17.54376654,15.57203987,13.71046578,11.83511034,10.18126478,8.850789589,35.4137699
0.36,8.850789589,9.53868474,10.17475398,11.55858768,13.29603217,15.73908169,17.81772984,20.88407924,23.5997534,22.42148177,20.30121966,17.40602962,15.84768913,13.63228117,12.07018306,10.19395606,9.115631754,35.4137699
0.36,2.482897411,3.67965682,5.314913773,7.0022704,8.819175081,11.93936284,15.70433515,18.48430863,21.86877504,20.06768781,17.86883601,15.83568097,13.5649991,11.76802767,9.672968077,8.342110686,7.345421848,34.96301759
0.36,7.345421848,7.486806445,8.669474246,9.859587093,11.50903596,13.74915328,16.46946384,19.41934759,22.53655554,20.79730098,18.70900046,16.34098971,13.93746322,11.81209333,10.06656893,8.371584404,7.451652596,34.96301759
0.36,7.451652596,7.896386489,8.663105419,10.11908426,11.93082455,14.02271229,16.73186008,19.60349228,22.74555646,20.70751355,18.47446704,15.92589952,14.28753914,12.05056349,10.1337478,8.866043011,7.549656767,34.96301759
0.36,1.771352434,2.955884181,4.154113117,5.842554899,7.661698575,10.37491507,17.16047625,20.01769918,23.3022153,21.75882903,19.41352835,16.98269348,15.11037667,13.49425225,11.86995545,10.45128089,9.305422252,34.84262369
0.36,9.305422252,9.709666056,10.68594215,11.94293877,13.41462934,15.18256413,17.96942313,20.7233423,23.84208305,21.85418835,19.7363562,17.41912406,15.25525915,13.48803955,11.80054028,10.40400856,9.335619553,34.84262369
0.36,9.335619553,9.815584532,10.82157747,11.77733274,13.44752189,15.23932108,18.26209025,20.73104063,23.73560423,22.04904194,19.71400093,17.67006387,15.485613,13.45162028,12.01149457,10.4528487,9.633529031,34.84262369
