stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
0.09,7.455188271,10.77514476,14.82610057,17.51804405,20.17029856,22.86094908,25.31347554,30.34687034,34.84290783,33.17897088,30.5754697,27.09337077,23.42755079,19.58366761,15.76719117,13.04316085,11.51290291
0.09,11.51290291,12.18653934,13.5667264,16.64236059,19.40787208,23.54150256,27.5817889,31.10145462,34.5574027,32.9486998,30.31246959,26.80536224,23.55724756,19.28162285,16.10824491,12.68374459,11.74287791
0.09,11.74287791,12.24556722,13.62632228,16.98881237,19.67433547,23.84056555,27.87426641,31.3218493,34.46408662,33.04752247,30.37289671,27.01616795,23.5659038,19.4714939,16.15620105,12.81172677,11.80125187
0.09,7.42109346,12.62666569,15.4991453,18.37105409,21.36286184,24.04732592,27.54248049,31.91821066,36.97867997,34.58488512,31.78061708,28.33252656,24.78057656,21.09277728,17.95777214,14.17001462,10.88526255
0.09,10.88526255,12.16563318,14.41119699,16.87998,20.8884407,25.04467423,28.9788901,33.1057656,37.48900424,34.94064411,32.22261572,28.89185515,25.81404886,21.40466542,17.52000026,14.42337417,11.42870763
0.09,11.42870763,12.31165029,14.37131716,17.14340933,20.92496086,25.20133819,29.21714825,33.62529166,37.93721468,35.46109185,32.77793709,28.98689387,25.42078248,21.65163602,18.07896811,14.99751035,10.87307778
0.09,11.68217412,13.25531791,15.84187883,18.31528428,20.80425464,23.38029705,26.03582668,32.27838454,35.02266315,33.35450106,30.63769301,27.60189472,24.78392043,20.84719887,17.2979691,14.39572633,10.63012857
0.09,10.63012857,12.12470772,13.93153933,16.86427177,20.74978579,24.12770802,28.53552675,31.39835749,35.62588571,34.01586184,31.41572784,28.669369,25.35004738,21.96147346,17.6721857,14.80340433,12.92774194
0.09,12.92774194,13.51144653,15.63798955,18.46851933,21.3167368,24.86913194,29.37010829,32.26607248,35.85214254,34.34968432,31.76027445,28.6718011,25.84026956,21.91583754,17.56740461,15.028877,12.91540151
0.22,12.74336319,14.8651031,17.35547898,20.41876989,22.60427955,25.63904253,29.14429277,33.44521217,38.57567826,36.60791094,34.10847417,31.31802873,28.25073614,24.68919163,20.1140254,17.25949088,15.61676849
0.22,15.61676849,16.32889079,18.16589091,20.86327598,24.14781479,27.61516344,31.49581515,34.86672674,38.55691204,36.82237327,34.4177822,31.67546683,28.44885827,24.58128155,20.52664699,17.50020344,15.95097813
0.22,15.95097813,16.59314896,18.74102071,21.23590962,24.36739892,28.33957587,31.72337272,35.17573348,38.86513327,37.3208188,34.50174804,32.02067576,28.65954651,24.93921515,21.92610473,17.85557811,15.61902097
0.22,12.87196507,15.49607672,18.23342144,21.68071093,24.25811409,28.25715461,31.24454753,34.58130851,40.86643508,38.62928038,35.69532156,32.37878093,29.30421211,26.25238757,22.5750385,19.38685265,17.01554074
0.22,17.01554074,17.75839662,19.55551707,22.19475778,25.00680908,29.42043525,32.59844804,37.16816601,40.49392463,38.69894869,36.32477302,32.73073327,29.46196401,26.4299152,23.32625272,19.46304889,17.15428213
0.22,17.15428213,17.90349979,19.95116916,22.536456,25.56181998,29.2113373,32.86047785,37.35099041,41.00746705,39.40550141,36.35767957,32.95683906,29.86764946,26.57003339,23.34651143,19.2529418,16.99759412
0.22,12.46109325,14.71050062,17.09190177,20.27598566,23.09041398,26.47928145,29.22329035,33.64164384,38.91587568,36.5934901,33.79728849,30.61124849,27.28275536,24.42211642,19.96515556,17.66979953,15.69107107
0.22,15.69107107,16.69252703,18.3192673,20.71529093,23.52992515,27.44336768,31.29608676,34.92797715,38.7429081,36.92818879,34.43913848,31.22806485,28.19790899,24.82094977,21.65097116,17.82837037,16.05908995
0.22,16.05908995,16.72690668,18.63583855,20.80152678,24.51800102,27.68652056,31.85523233,35.4283695,38.63739857,36.75913714,34.45131976,31.07991754,28.17307509,24.62912907,21.36180785,17.65371042,16.07232317
0.35,13.43296131,14.97863432,17.34760225,19.60273516,23.09363745,26.45143899,30.1888138,34.64066267,37.24452345,35.75963518,32.99628093,29.80907888,27.16070556,24.16305589,20.78515353,19.15630916,17.31956574
0.35,17.31956574,17.9282831,19.41902361,21.82781874,24.44473314,27.42247127,30.42480601,33.41577344,36.04545805,34.92459527,32.686341,29.75898745,26.82861182,23.58263385,20.87948445,18.63760021,17.16914345
