stiffness,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,theta0
0.09,0.482694499,1.287445902,2.925265764,4.491319441,6.979973184,9.266861999,11.86516492,14.7985871,16.9925851,15.38104067,13.20123858,10.87173397,8.783920995,6.914484761,4.26499702,4.39501262,3.239374748,39.11750407
0.09,3.239374748,4.530000433,5.521311209,6.978629219,9.003823644,10.82380031,13.19326582,15.30044334,18.11866746,16.36035161,13.86450026,11.38903083,9.354902979,7.066729716,5.790919457,4.811948679,3.465331903,39.11750407
0.09,3.465331903,4.643257805,5.800647987,7.384489403,9.175990165,11.26026487,13.60971291,15.66860939,18.18786178,16.38288383,14.15008008,11.37193096,9.513408755,7.727685152,5.875299561,5.021617616,3.493235467,39.11750407
0.09,1.359118895,0.503202495,2.399405519,4.058070518,6.696284338,9.471692442,12.36418473,14.92874966,17.82073937,16.31494185,13.83766885,11.53451281,9.898029238,7.855472328,5.986028039,4.427360607,3.200014717,38.87907365
0.09,3.200014717,4.322765813,5.595194677,6.954449974,9.03294304,11.22507784,13.66935328,16.05434942,19.24907564,17.16923591,14.80618316,12.66922066,10.57156138,8.361079768,6.669695293,5.219071122,3.374201969,38.87907365
0.09,3.374201969,4.778842836,6.232244572,7.458065903,9.351215275,11.59952213,13.87204946,16.5314907,19.40631208,17.83347724,15.30614033,12.82671481,10.66750464,8.556165717,6.810782771,5.131872841,3.66195703,38.87907365
0.09,0.623245313,2.223069803,3.753614692,5.727339567,7.635428657,10.84295328,13.58502013,16.63556548,19.0691572,17.41851286,15.44711579,12.56734415,11.46504942,10.3542736,8.821571303,6.718303591,4.391267841,38.69222718
0.09,5.942161316,6.776301369,8.261616582,10.04271281,11.66250578,13.71260794,15.56425678,17.709091,20.53288837,18.70572391,16.8068126,14.52402499,13.07041139,11.50970061,9.441370185,7.694795683,6.361940411,38.69222718
0.22,1.984319248,3.273706245,4.611304738,6.295702168,8.148641032,10.34295231,13.14926938,15.97104558,18.56394147,17.31978836,15.43269144,13.33301706,11.7764621,10.05406392,8.451492284,6.946798133,6.135279553,47.22154283
0.22,6.135279553,6.799133823,7.755689021,8.9765205,10.72734135,12.74943719,14.74659898,17.44983472,19.88441008,18.23048806,16.08130772,13.94463013,12.3432585,10.68016999,8.965216674,7.642808183,6.422858288,47.22154283
