stiffness,theta0,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
0.1,41.66703695,11.56778897,13.4174649,15.70887149,16.97719464,19.10730321,21.46603672,24.88246554,28.90879908,32.17723591,29.42748824,26.06961593,22.77157467,20.15026884,17.76891527,15.62811563,14.408506,12.36367968
0.1,41.66703695,12.36367968,13.37100251,15.3965667,17.25060428,19.60458209,21.46322117,24.73958597,28.7729984,32.07741306,29.3558472,26.18946967,23.12511086,20.64943434,18.61394332,16.28279659,14.46463402,12.35140867
0.1,41.66703695,12.35140867,14.06005566,15.61213721,17.82886789,20.13745935,22.44259921,25.3837586,29.00123441,33.20628029,29.67164429,26.1223556,23.1568824,20.37861447,18.84550609,16.3067451,14.83782231,12.30274599
0.1,42.3396937,12.35162457,12.84823231,14.4530925,16.21451055,18.2642129,20.44399532,24.22007187,28.25148852,32.63054112,29.59342406,26.22426805,22.77546125,20.44621157,18.26524544,16.21011895,14.9505143,12.9192725
0.1,42.3396937,12.9192725,14.03863157,15.19824111,16.80620181,19.86555788,22.15034415,25.57721889,29.6246742,32.99907335,30.52356381,26.97489126,23.19438239,20.65984181,18.36133382,16.39434379,14.85797337,12.89312213
0.1,42.3396937,12.89312213,13.6213075,15.2470805,17.48495645,20.33682002,22.78952679,25.43178997,28.96269326,33.44215281,30.01140428,26.51109446,23.0228157,20.02906595,18.29527233,16.26774845,14.45243584,13.39221668
0.1,42.68226745,9.552835809,10.28471234,11.30567682,13.05359391,15.23498731,17.05309289,20.69573117,23.39906225,27.04870594,24.08529933,21.41352209,18.53224891,16.41911471,14.28360157,12.54891707,11.62607396,10.14403862
0.1,42.68226745,10.14403862,10.4695458,12.25756756,14.05732445,15.74390482,18.2336882,20.58700016,24.01845063,27.31567781,24.63978353,21.17213215,18.97300341,16.47740646,14.61113951,12.90563235,11.44669413,10.16451288
0.1,42.68226745,10.16451288,10.85098951,12.27200143,14.04354625,15.93639231,18.48352847,21.05251306,23.46688976,26.70581077,24.47790837,21.51522016,18.84333226,16.56827901,14.50326274,12.4613586,11.53543641,10.43561729
0.25,45.90818135,13.9024876,14.92062222,16.31745239,17.98933208,20.13671346,21.88595651,25.40917107,28.77348655,32.66254475,29.71861543,27.0925557,23.98448145,21.83390419,19.76054486,18.20397223,16.60359194,15.1943423
