stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0,theta0
0.09,0.82135275,0.364368669,2.616737331,5.072686755,7.912778504,11.43130222,14.73824356,18.1737662,21.40204212,19.42669911,16.31705455,13.23141584,11.02466049,9.16305968,7.15301791,4.850839623,2.228085316,35.96214878
0.09,2.228085316,3.625553226,5.117038183,7.216288583,9.819243241,12.20900185,15.23365093,18.70913719,21.90642164,19.85099038,16.88344288,13.60527911,11.25133328,9.847247508,7.442560119,5.100751347,2.785632811,35.96214878
0.09,2.785632811,3.610855548,5.463624355,7.693752119,10.13018508,12.70722909,15.44846364,18.85376893,21.91426301,19.84913616,17.31967822,14.07880073,11.75863451,9.718218663,7.580358337,5.077941097,2.927737563,35.96214878
0.09,1.051585127,0.238396658,1.656105467,3.698998286,6.138907677,9.131122933,14.56038582,18.07129813,21.84661473,18.6928547,15.98279751,13.06860767,10.76548911,8.900398293,6.900560447,4.371561219,2.928115012,35.84247297
0.09,2.928115012,3.572247652,5.233134241,7.587714031,9.968894415,12.64656206,15.54342866,18.62578907,22.06582395,19.64028555,16.59866984,13.33413664,11.41425236,9.130757232,7.44195778,5.128090117,3.012524331,35.84247297
0.09,3.012524331,3.592262352,5.753723449,7.589868595,10.47656772,12.67387237,15.646324,19.26610216,22.17749047,19.88188086,16.9769399,13.59616272,11.77565331,9.588986669,7.212592251,4.88101389,3.068539678,35.84247297
0.09,0.144282429,0.851058883,2.287911668,4.510593354,6.805515469,10.0617636,13.3817518,16.83901339,19.99766062,18.30504253,15.53596946,12.60319471,10.16276994,7.318306778,4.626588917,2.668654609,1.258147626,36.3597196
0.09,1.258147626,1.98573997,3.316943182,5.78843238,8.645751377,11.25940092,14.09033945,17.57928736,20.72958869,18.81501336,15.76499725,12.91031289,10.67843173,8.098642917,4.634081223,2.457175814,1.458354633,36.3597196
0.09,1.458354633,1.71368387,3.069517932,5.624963463,8.960861045,11.35875712,14.24160311,17.65347408,21.21348873,18.94396512,15.95284138,13.04478954,10.5815753,7.82993527,4.541860787,2.654696233,1.523544736,36.3597196
0.22,0.492059408,1.744024786,4.138972417,6.029749709,8.787744742,11.83502312,16.13860276,19.10407639,21.87693944,19.96939235,17.39475834,14.58451789,12.59455438,11.30692703,8.804426471,6.716470024,4.773393116,37.17120311
0.22,4.773393116,5.682154034,7.265819027,9.277329994,11.41751024,13.9050803,16.79860259,19.54561281,22.98347498,20.86636558,18.25166812,15.47840423,13.50219962,11.78902772,9.634350766,7.476372498,5.843170826,37.17120311
0.22,5.843170826,6.161496984,7.560932784,9.194102072,12.01476642,13.77744522,16.67851994,19.9667828,23.34643834,20.97028152,18.47786754,15.64006182,13.79617154,12.02123809,10.0278482,7.625084618,5.286660475,37.17120311
0.22,0.406122618,2.054091702,3.786514341,5.977232169,8.702746154,12.05281768,16.36183215,19.55073853,23.05114526,21.01338372,18.14707648,15.25242734,13.13618659,11.43670683,10.03382706,7.280826809,4.543454815,36.78115221
0.22,4.543454815,5.154048482,6.820275235,8.803368012,11.44849453,14.05624329,16.96132638,20.15102063,23.88012645,21.36739744,18.59998234,15.14718153,13.23675587,11.32742481,9.829848434,7.762107816,5.223164494,36.78115221
0.22,5.223164494,5.704461998,7.190657719,9.007558497,11.62300047,14.07334663,16.81287174,20.08110879,23.53549964,21.29310974,18.96719529,15.91671085,13.23356932,11.6427509,9.856529582,7.807270809,4.99221555,36.78115221
0.22,0.612502445,0.363807367,2.265911962,4.471616967,6.874730295,10.05046273,13.51269808,17.54159341,20.7759279,18.79247894,16.13932163,13.31511005,11.91908899,10.15949346,8.664792978,6.015914951,4.699670266,36.92814906
0.22,4.699670266,5.010747711,6.039442754,7.800197525,10.2671782,12.58209431,15.29185089,18.49064564,22.00279526,20.19921306,17.36152136,14.49444367,12.25697647,10.94441675,8.385041056,6.939793663,5.071949573,36.92814906
0.22,5.071949573,5.509380418,6.619650301,8.660378705,10.41695919,13.05116555,15.7843267,18.78285296,22.8136572,20.5471064,17.59701164,14.73062777,12.82815803,11.24975836,8.3363108,7.095825051,5.069639567,36.92814906
0.37,2.381997263,3.551523028,5.180010999,7.190025357,9.804238034,12.26796866,15.66771431,18.96516528,22.33676387,20.56831419,18.02027547,15.04490274,13.15112484,11.25407513,9.855107047,8.334524107,7.100819992,36.54344485
0.37,7.100819992,7.453037399,8.64361634,10.09879617,12.2838229,14.75454572,17.25233534,19.86986553,23.59658222,21.16064887,18.13500186,15.56473691,13.52688487,11.99162081,10.32041304,8.840927636,7.452345997,36.54344485
0.37,7.452345997,7.740331221,9.053120669,10.59516996,12.6126458,14.72501563,17.36592155,20.24173026,24.14913213,21.6238294,18.71251746,15.69997175,13.76938203,12.01077421,10.12287694,8.999530948,7.804403711,36.54344485
0.37,2.451045981,3.268720656,5.015298673,7.480864825,9.847239614,12.9877006,16.33993214,19.45626858,23.10686277,21.1698353,17.95457832,15.74198296,13.46561004,11.81757969,9.595260333,8.137847369,6.400449946,37.17820898
0.37,6.400449946,7.184598063,8.428858258,10.01905091,12.11772011,14.34549189,17.11850946,19.83181582,23.56960113,21.2691195,18.72469822,15.84645085,13.74580927,11.91684782,10.08692554,8.884679311,7.062370051,37.17820898
0.37,7.062370051,7.370777272,8.430045774,10.26253987,12.30084168,14.62092454,17.49031758,20.20391909,23.77689506,21.00740431,18.73212344,15.85041612,13.98323827,12.16473298,10.24432463,8.606758294,7.051866171,37.17820898
0.37,2.668338572,3.93242055,5.625245197,7.686683995,10.12430648,12.92438875,17.3061316,19.74119614,23.40252472,21.68725183,18.79221196,16.24038147,14.04984453,12.26512997,10.83102754,8.046992782,6.827346451,36.61502348
0.37,6.827346451,7.571491017,8.898447263,10.2285316,12.65981771,15.11632456,17.55485493,20.4808702,23.87289111,21.92399489,19.23971727,16.62538905,14.41314642,12.49147697,10.41084539,8.379437255,7.163594572,36.61502348
0.37,7.163594572,7.915647596,9.009600326,10.29043517,12.76759012,15.06827153,17.56078053,20.48963861,24.02346254,21.89741439,19.68593882,16.87456257,14.39809973,12.61155614,11.04351034,8.488555537,7.227139667,36.61502348
0.45,2.699009407,4.070469734,5.560548192,7.183832116,9.667555359,12.8287414,15.7671331,19.6334856,23.25347808,21.0068941,18.73122497,16.0145743,14.20190378,12.55035146,10.98912319,9.619378135,7.808810417,38.21124876
0.45,7.808810417,8.226125193,9.551105109,10.91890283,12.46700818,14.95558622,17.90789668,20.47915117,24.09709365,21.55029738,19.12515402,16.28897998,14.54597031,12.903337,11.08817388,9.582073887,8.045529008,38.21124876
0.45,8.045529008,8.697489162,9.484468837,10.96176921,12.86935639,14.99584625,17.47889246,20.37167583,23.98128364,21.82701255,19.52966048,16.72314347,14.45362777,13.0178989,11.27209848,9.961404315,8.742725212,38.21124876
0.45,3.751007225,4.714180516,6.244338394,8.070433012,11.16516179,14.00449599,17.92048574,21.14948293,24.02196153,21.50402047,19.20286226,16.58826594,14.7493178,13.11689798,11.18334501,9.570994202,8.325925442,37.7008867
0.45,8.325925442,8.905199281,10.20328415,11.62666714,13.11754829,15.37530737,18.25348048,20.96949151,24.51239605,22.17385538,19.74472267,17.16872382,14.73704317,13.21897388,11.30262663,10.14938649,8.804604164,37.7008867
0.45,8.804604164,9.220753002,10.27550796,11.74018912,13.31934184,15.50178765,18.25931853,21.41994857,24.84091967,22.3703163,20.263441,17.13752196,14.87234239,13.12439977,11.51830734,10.11907042,9.082262926,37.7008867
0.45,2.27470322,3.617696767,5.614352221,7.664637899,10.01205576,12.61864352,16.63148113,19.26277835,21.92405144,20.21577208,18.10519737,15.76609356,14.24860765,12.76123907,10.86961145,10.03586437,9.09667841,37.49404642
0.45,9.09667841,9.192811568,10.06756613,11.44132777,12.81239931,14.67260717,17.44282874,19.97429286,22.84431407,21.316149,18.95406648,16.42559135,14.82329728,13.36098395,11.33541852,10.1492065,9.091389188,37.49404642
0.45,9.091389188,9.548771174,10.31831009,11.6235613,13.3278163,15.01188869,17.28719455,20.11135189,22.96506242,21.02678345,19.10034906,16.33301013,14.66692813,13.47760383,11.92982033,10.15042869,9.145440049,37.49404642
0.76,6.443006978,7.112485096,8.725781214,10.06013312,12.46685647,15.35935648,17.7362397,21.17351627,23.70781288,22.24205553,20.32402912,17.8523238,16.39684892,14.90806507,13.17127335,12.61005457,11.72315527,37.5071468
0.76,11.72315527,11.97504406,12.57237792,13.53892765,15.11246353,17.4282272,19.63421852,21.84672683,24.44448821,22.59330715,20.80721856,18.26130984,16.73724293,15.24282939,13.68565684,12.81534234,12.26311645,37.5071468
